Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
18/04/1941 18:23,"HKLM\System\CurrentControlSet\Services","AppReadiness",enabled,"Services",System-wide,"App Readiness: Gets apps ready for use the first time a user signs in to this PC and when adding new apps.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appreadiness.dll",10.0.17763.1,"%SystemRoot%\System32\svchost.exe -k AppReadiness -p",425280AF4EB1F4A105097A4DEBD84B18,449F94C224B3367C17A9A0F00B05E15EC82464F7,87FBB3ED73143258E8757774D6621D12BF99EBE9,C61D770DDB4937C52817E42997B9E359300F314288AF0B31F2DC742F29B4757A,C086F13D778D6B6D98A89B4165C73E0E8268BE34C55054C0A08F99FCB0D1DDDB,58B966DC1091A72EDB04E0B91551429C
08/09/1934 23:22,"HKLM\System\CurrentControlSet\Services","AppXSvc",enabled,"Services",System-wide,"AppX Deployment Service (AppXSVC): Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appxdeploymentserver.dll",10.0.17763.379,"%systemroot%\system32\svchost.exe -k wsappx -p",CDE3359A4AE89751F904C87D56C7EFA7,305C08D7C7234D7B73B2371A07C4332456DC2E8A,897D2C975EB8747C5D7126D7529CBD1BA4EFA0B2,99071D305E68D6AB27C4D72616E3DD5D9577C5C244275674730EBF90DF9CE577,A9BEE2DBDD15BED75EA2C05B92DB30D22CEF81A72AFC27CB71E6D435EF273562,3B772FB84538974D867824EB4A67FE9E
12/12/2028 06:50,"HKLM\System\CurrentControlSet\Services","AssignedAccessManagerSvc",enabled,"Services",System-wide,"AssignedAccessManager Service: AssignedAccessManager Service supports kiosk experience in Windows.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\assignedaccessmanagersvc.dll",10.0.17763.292,"%SystemRoot%\system32\svchost.exe -k AssignedAccessManagerSvc",92919A50E3B2165918A4575778A83676,E55AD8F8D2DF289B762679EFA18013D7745AC874,69D297E6DB7EA10893197322DDE947AC2C172903,D99BBDE98F0A5D9C19A11DE62DFB7285C5221A5519EB399C9DAFF18FEAF6DC8E,D8737F30C5B95D87B6DFED8D51391F91782C042761716E629C42EC328F47E915,DFFAB729A72C96B19A1CEF89580D232A
23/07/1920 05:52,"HKLM\System\CurrentControlSet\Services","AudioEndpointBuilder",enabled,"Services",System-wide,"Windows Audio Endpoint Builder: Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\audioendpointbuilder.dll",10.0.17763.348,"%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p",BAE5E487DB09088678F98827AB23C360,674FBA2CA30F7D0CD7368422AC70CFA74C4FE848,D31B473FFCBC08A2838C0CBA53247A8BC061723C,77F4195BD9003C8AA688BD4AB2E7D0ED6272F01628B3D76B5D3444DDCE4EAD3F,7461D6F09099F268AADB707831D94802E0F77405786032FD3E063AC3CD78FC1E,E3CD0E4555D32811B44D8B7A6C91D26C
23/05/2037 01:35,"HKLM\System\CurrentControlSet\Services","Audiosrv",enabled,"Services",System-wide,"Windows Audio: Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\audiosrv.dll",10.0.17763.348,"%SystemRoot%\System32\svchost.exe -k LocalServiceNetworkRestricted -p",C92C5C1F0ECFCAD913D924E193FE9061,977BDB26096BD2736491D4A068B926B1B30D3246,DF7B5071A079FFDC482722C4A608553C37D5F157,F876196C1B52BC0E3A74B7A1336295D784868F9D129F3066C10DE5BBB356AE09,FE709A12E3E2273D82B96526CBF75FCCBE6BCFE97000DED45336F9DF7C782C6F,187D568E5C32AE7693C1D967C32D4DC1
07/01/1934 06:09,"HKLM\System\CurrentControlSet\Services","AxInstSV",enabled,"Services",System-wide,"ActiveX Installer (AxInstSV): Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\axinstsv.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k AxInstSVGroup",E129358A0BE95CBF9EB0742173E72665,C6C5B2F1C2C0C123847B2507308F147337F530F8,847FA1F930BDF3DFB255430F3653086B8E651549,051DC0D0AF6D2123D2CE2F7A9B7CC3AEE4E5252BA98815294AB12F1B64AF093F,87F2512CF94CFCC735BBF3C5408902BF05015212A2BEAF07C418AB6EF85ABB02,FFDF1133A82C1CE04B750AB5B931BE1B
20/02/1934 17:46,"HKLM\System\CurrentControlSet\Services","BcastDVRUserService",enabled,"Services",System-wide,"GameDVR and Broadcast User Service: This user service is used for Game Recordings and Live Broadcasts","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bcastdvruserservice.dll",10.0.17763.379,"%SystemRoot%\system32\svchost.exe -k BcastDVRUserService",871F1AD2199E82074146064B1C0C08BC,C8BD80FD961B61F90CF7BBA6B5708D956CD364F9,FCA199510F23E987C7C0ADB9D345B682269BA7A9,2F3F32734020E30FA8C2E8A97FE978D8B6F7891146C36A32816FDC8EECE958EF,29C7A1AD6E373B9E56A5DAF956FEDA4326848E373A1216D4FBC4CDA09E59C90B,60E50A2171DA8DCD4961EB374FFBA842
03/04/1932 22:00,"HKLM\System\CurrentControlSet\Services","BcastDVRUserService_2245187",enabled,"Services",System-wide,"GameDVR and Broadcast User Service_2245187: This user service is used for Game Recordings and Live Broadcasts","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.17763.1,"C:\Windows\system32\svchost.exe -k BcastDVRUserService",8A0A29438052FAED8A2532DA50455756,A1385CE20AD79F55DF235EFFD9780C31442AA234,68BF3DA91310A277BC971C25F7F7F60EAE921B70,A42A20DA16F83B8467DCED74AB028B58D5927D15D9D74C5C7B0D5C9DAC042CB2,7FD065BAC18C5278777AE44908101CDFED72D26FA741367F0AD4D02020787AB6,247B9220E5D9B720A82B2C8B5069AD69
24/01/1918 22:27,"HKLM\System\CurrentControlSet\Services","BDESVC",enabled,"Services",System-wide,"BitLocker Drive Encryption Service: BDESVC hosts the BitLocker Drive Encryption service. BitLocker Drive Encryption provides secure startup for the operating system, as well as full volume encryption for OS, fixed or removable volumes. This service allows BitLocker to prompt users for various actions related to their volumes when mounted, and unlocks volumes automatically without user interaction. Additionally, it stores recovery information to Active Directory, if available, and, if necessary, ensures the most recent recovery certificates are used.  Stopping or disabling the service would prevent users from leveraging this functionality.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bdesvc.dll",10.0.17763.168,"%SystemRoot%\System32\svchost.exe -k netsvcs -p",CCC67792F21B039576AAC556BF104A59,D6E25F4BB6AA70A2642C0FE2B324C7E0A92B6399,F66D89356E75616199F32F24F167A93C546A3524,4CA464CF2F31ACD9421C323675C258E552E96D03C45EB39A29BC09D9667A655C,F28850BB03A48566F6960F3ECBEA1BCBB0FFE71874E7F545972445CF5AEE63DB,C54E4301CF7EA8FDE5F8448738F365CB
15/12/1952 17:54,"HKLM\System\CurrentControlSet\Services","BFE",enabled,"Services",System-wide,"Base Filtering Engine: The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bfe.dll",10.0.17763.1,"%systemroot%\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p",3C5E2B48021E9D45CCB35B8987F3A399,8586A20FF98D40F0ACB382EA9D4877F6DCB60D7E,DF48A5A2502029AB8CC554642381D6C9D9809AA5,17FC6727FBBE9BBE2BAED8FA00723D022BE94462E871C41E158EBBBC7058738D,BD7E591E1612F5FC51193D468543F1E008BD0A7AFBCF9E205CC66B8D27DB358E,6C628DDB98233655E5DC9C6BAC0A3097
12/05/1948 10:47,"HKLM\System\CurrentControlSet\Services","BITS",enabled,"Services",System-wide,"Background Intelligent Transfer Service: Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\qmgr.dll",7.8.17763.1,"%SystemRoot%\System32\svchost.exe -k netsvcs -p",762E1319019E9E3D61127533FA3F3A07,62F0D9DB33AD656CE80E28C1218E2B59B857BD38,651F87D00C3C308EF0A7CCCDC7ED03BE01B22412,352B5E47A9CDE8A6AFCB319E3D46195A9AC65D981B947825ABD0ED571AD087B9,465D3592174660D8144B640E0B3ACEAAA607361D112386B34FEAE72FE8AEC009,1B70CC4D59025386A1EF0629260B4371
07/02/1986 05:01,"HKLM\System\CurrentControlSet\Services","BluetoothUserService",enabled,"Services",System-wide,"Bluetooth User Support Service: The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\microsoft.bluetooth.userservice.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k BthAppGroup -p",B5704DC9DC9E87DB736DB103456C0E61,C54CE329272EC2A462237A75108339124AB81EDB,A780F7BF2639662B868882D170FC40FE72C115FF,29B7983DD6B87ADF036942701CD18997F1E9EB7AED4725998CA5B010F062734C,3FEACED6B153D70411410C10B03313A3ED907FC70817A332E968F35A23B5DEEF,85C9ADF14F29DF76EE805C3F59735AC3
03/04/1932 22:00,"HKLM\System\CurrentControlSet\Services","BluetoothUserService_2245187",enabled,"Services",System-wide,"Bluetooth User Support Service_2245187: The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session.","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.17763.1,"C:\Windows\system32\svchost.exe -k BthAppGroup -p",8A0A29438052FAED8A2532DA50455756,A1385CE20AD79F55DF235EFFD9780C31442AA234,68BF3DA91310A277BC971C25F7F7F60EAE921B70,A42A20DA16F83B8467DCED74AB028B58D5927D15D9D74C5C7B0D5C9DAC042CB2,7FD065BAC18C5278777AE44908101CDFED72D26FA741367F0AD4D02020787AB6,247B9220E5D9B720A82B2C8B5069AD69
26/01/1930 02:36,"HKLM\System\CurrentControlSet\Services","BrokerInfrastructure",enabled,"Services",System-wide,"Background Tasks Infrastructure Service: Windows infrastructure service that controls which background tasks can run on the system.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\psmsrv.dll",10.0.17763.134,"%SystemRoot%\system32\svchost.exe -k DcomLaunch -p",0C8BF24048358ED09FBD4A99ADD88934,8970F40E78E690749A598DA0076462E37C1D66CE,9F00A036AF0CC4E604429D1CF3FEB74E9DABEE92,DF8839B8FEB48E75A8EF317D98BAC69322FBF2E1DAC944616EC5C4B530C95221,59FAEB808C9795DA892E5849CE1669F34E4F750716C7DF4578056859BAEB2EA5,93D6E31536F2E537B018C85EB1D2EE46
04/11/1941 06:34,"HKLM\System\CurrentControlSet\Services","BTAGService",enabled,"Services",System-wide,"Bluetooth Audio Gateway Service: Service supporting the audio gateway role of the Bluetooth Handsfree Profile.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\btagservice.dll",10.0.17763.292,"%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted",8008A4C3ED457237A8C46916F8BD2825,1B9F38BE015062EF20A0401862DE6EA997E24A55,B56B55022AD1CAF78AC6EEBE22BAC95F7E63EE1F,AF829BF032E352C1244228A8EB649DE9BB7123EF706B4855A8912C51D5CC6ADA,438D40E09C76A4EACAAF36D26BAB5C145D16083C51359B20C04F829D9EF0E8B0,D41E933121DFD0D042154F0B592CA1F3
21/04/1932 03:35,"HKLM\System\CurrentControlSet\Services","BthAvctpSvc",enabled,"Services",System-wide,"AVCTP service: This is Audio Video Control Transport Protocol service","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bthavctpsvc.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k LocalService -p",43F1CDBE6650A2989E1C2F6F02F0E4F1,8D528DE2BF90214C47C277EE6A59FDD4DC94068A,673662BAA7C951DF50EBBA8E79234109BA2AD681,D6EC5436299B345298015E5AE5246644CAC457861BA9774C91A63701364B61C5,A909747A78875A4619613FD4313045F8ADA15C5C4E429A0764D8573AE8BA7DF9,219DB578B526836C31D03452D9FBCD6D
05/05/1991 08:50,"HKLM\System\CurrentControlSet\Services","bthserv",enabled,"Services",System-wide,"Bluetooth Support Service: The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bthserv.dll",10.0.17763.194,"%SystemRoot%\system32\svchost.exe -k LocalService -p",A710D4C7FF4AAF8AEE87D7B1EBA9C08E,9E7E70C6F6E5AD912B73FE00BF9EE1C0FDF95CDC,4E8523464FF2DE39F06384F66FFE69874C03942A,3F10C4EBDB3FE3DD46089C967F43CBFCEBFD4FDB9183EB5975683A153E4483E2,FEF59FD0F9052477488134A963B4278AEB0074980E97902E55724CF3C4102912,A41F322F75A9573601EC1ED161249E30
15/10/1999 15:37,"HKLM\System\CurrentControlSet\Services","camsvc",enabled,"Services",System-wide,"Capability Access Manager Service: Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\capabilityaccessmanager.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k appmodel -p",20AF2F885AE06DDBB31BF586D0333047,803B23AA0DDA01DC4A2C76685198308DF9510459,1C7905F5C7CB7B19BEC28D9D21630B0709F2DAC0,D7BB89BF3A32F4F379D25B32C5E3CF52A532D6FE3D617B398D871028674FC3A8,D799851C5B825C8C52FE32A653FA39B287951F885E211231EE79C80BD052FB21,4475C5AD00DF74EF8DA4C82DD0421C3B
09/11/1966 14:47,"HKLM\System\CurrentControlSet\Services","CaptureService",enabled,"Services",System-wide,"CaptureService: OneCore Capture Service","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\captureservice.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k LocalService -p",61E4F7601980AA8396D608EFABF1FAFF,096AEAAA43AC566CBC39AFE95C92D3AE1AC5537C,F825CD5074AF6E8B1FC54EF6CD712F768E4D4371,CD0D62EE90CCCDCB67E47F419E46955634EF2D32182A46D1015481C04D1EF0F8,E4887D903F93B829A1DDD8ECA5F9702AA8F546E1D4F6CAA34D2E60CD51BFDE52,264DED2FE729CF5F5D4E0D973682C88B
03/04/1932 22:00,"HKLM\System\CurrentControlSet\Services","CaptureService_2245187",enabled,"Services",System-wide,"CaptureService_2245187: OneCore Capture Service","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.17763.1,"C:\Windows\system32\svchost.exe -k LocalService -p",8A0A29438052FAED8A2532DA50455756,A1385CE20AD79F55DF235EFFD9780C31442AA234,68BF3DA91310A277BC971C25F7F7F60EAE921B70,A42A20DA16F83B8467DCED74AB028B58D5927D15D9D74C5C7B0D5C9DAC042CB2,7FD065BAC18C5278777AE44908101CDFED72D26FA741367F0AD4D02020787AB6,247B9220E5D9B720A82B2C8B5069AD69
20/08/1904 15:06,"HKLM\System\CurrentControlSet\Services","cbdhsvc",enabled,"Services",System-wide,"Clipboard User Service: This user service is used for Clipboard scenarios","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\cbdhsvc.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k ClipboardSvcGroup -p",FED9AB89CEA58D22566DBF65DB3A5BDC,279319BA8FBB6F9C2EDA6E584CA2D9CAB5AF1799,96E05773DFCB18A3138156855CE6CD479F00CE28,D5F6BA4482AB00E1F3CDE9B77DE2F6FA3AF7803AB688B6FDA465A1F86F83EC88,7CA9DA0A52781FBB3A811C851A3A89079FA800B93B767B6B5B88469CA197463C,23F6B2C41741552D1ABC2980EACFE8D2
03/04/1932 22:00,"HKLM\System\CurrentControlSet\Services","cbdhsvc_2245187",enabled,"Services",System-wide,"Clipboard User Service_2245187: This user service is used for Clipboard scenarios","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.17763.1,"C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p",8A0A29438052FAED8A2532DA50455756,A1385CE20AD79F55DF235EFFD9780C31442AA234,68BF3DA91310A277BC971C25F7F7F60EAE921B70,A42A20DA16F83B8467DCED74AB028B58D5927D15D9D74C5C7B0D5C9DAC042CB2,7FD065BAC18C5278777AE44908101CDFED72D26FA741367F0AD4D02020787AB6,247B9220E5D9B720A82B2C8B5069AD69
09/04/1943 12:31,"HKLM\System\CurrentControlSet\Services","CDPSvc",enabled,"Services",System-wide,"Connected Devices Platform Service: This service is used for Connected Devices Platform scenarios","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\cdpsvc.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k LocalService -p",72DCA3EF93EAB7A87D3EBE9DD94C959F,3D056ABA922016317EFFFEEB6C23B45D7CB88A4B,D7A62DD0CF9BDB92C6CDBB02CD10573DC98AAC71,CF7C45E038391DC9C16F078A77EE2A7786470DB4704E3EBB38541B81B6371511,B1B37F1EEACCCA08BBF5DF1F55E58899EE18C15773B774034FEFA7794ED56A69,C5901AB1480EBB3737937369D8A21D4D
11/03/1935 22:49,"HKLM\System\CurrentControlSet\Services","CDPUserSvc",enabled,"Services",System-wide,"Connected Devices Platform User Service: This user service is used for Connected Devices Platform scenarios","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\cdpusersvc.dll",10.0.17763.168,"%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup",8D3849E1837FCC289B744EC29D41FDC5,464078014C4CFBC2B925BAFBDD49D540716351D6,997E66F5FD9CD1868487D9F98AE35D674C97EE6C,2FDF614500A12BAB9C3973CDAF005BD0605BCA47E7500E0DFFE49C05D9A47F63,F6147E9C9BBCB8470F88C48AF75272A7D531344B737C5AE50FE2D5786A93AD55,B026022A1186FE9917A3F89C8AF03FED
03/04/1932 22:00,"HKLM\System\CurrentControlSet\Services","CDPUserSvc_2245187",enabled,"Services",System-wide,"Connected Devices Platform User Service_2245187: This user service is used for Connected Devices Platform scenarios","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.17763.1,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup",8A0A29438052FAED8A2532DA50455756,A1385CE20AD79F55DF235EFFD9780C31442AA234,68BF3DA91310A277BC971C25F7F7F60EAE921B70,A42A20DA16F83B8467DCED74AB028B58D5927D15D9D74C5C7B0D5C9DAC042CB2,7FD065BAC18C5278777AE44908101CDFED72D26FA741367F0AD4D02020787AB6,247B9220E5D9B720A82B2C8B5069AD69
16/06/1922 05:49,"HKLM\System\CurrentControlSet\Services","CertPropSvc",enabled,"Services",System-wide,"Certificate Propagation: Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\certprop.dll",10.0.17763.1,"%SystemRoot%\system32\svchost.exe -k netsvcs",0AA32D46BBEC1509B13FFBFB00C26116,D2D716680C6C986B98339FF4DA7195885D3BBA49,037232CF36E847EE14576FB5C902F7B409FF3EF5,70D2B2983296E0BB9F43995EB263DAFC27E3BA49298D4FC71954CDE78A26399F,5B14509A04B3D5DF44A0CC35CFB68F91852C7E0712AD6A10EE5D8930DF62B84A,528C3DD8C49AB28C7AC5159D750F6322
04/05/1952 09:28,"HKLM\System\CurrentControlSet\Services","ClipSVC",enabled,"Services",System-wide,"Client License Service (ClipSVC): Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using Windows Store will not behave correctly.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\clipsvc.dll",10.0.17763.348,"%SystemRoot%\System32\svchost.exe -k wsappx -p",A76A9EF927E494C59938B19242859CFE,653E5927CA03EAE3BB16510987EC2FBC9427EF15,BB54A87E4C31FCEDF7EB15191632DAB7CED0877D,5EF66B48B647AEE87B5BAF4BA705DC3190B740A5BC6C8B8D690E2F07B060C554,C0693BEF92D3E81F808AC28D0DE7CDF5AF3DFF75437DA62FE46189217166CD58,744B778E70561EB6CAFF551C4081ED4B
26/07/2019 22:23,"HKLM\System\CurrentControlSet\Services","COMSysApp",enabled,"Services",System-wide,"COM+ System Application: Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\dllhost.exe",10.0.17763.1,"%SystemRoot%\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}",D2AB39EA2C0FCD172751F84BDA723A97,DCE2AF90E45FB9FC05ECBC9BEDDEE53FB66F3C6D,4436AAF849CB924FB521EC14365AD6E9C4F7A94B,993991710080440F1678B9A877B554F7C7A21349A42D0173557E1B0A94A491FE,C4E078607DB2784BE7761C86048DFFA6F3EF04B551354A32FCDEC3B6A3450905,68E651F131674892AE7E46556EB24726
