system,driver_file,driver_base,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","\SystemRoot\system32\BOOTVID.dll","0xFFFFF806484C0000","C:\Windows\system32\","BOOTVID.dll","26112","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:46:22Z","2018-09-15T07:28:46Z","Microsoft Corporation","VGA Boot Driver","10.0.17763.1 (WinBuild.160101.0800)","bootvid.dll","&#169; Microsoft Corporation. All rights reserved.","bootvid.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","05c4143ea8151689f258627525bfc776","f2dc8402e6fd90b5b6a2599a665536db754c95c7","4fc49e2fc7473d09b1af2d9ef4215c13785e1ff8d1ad939baa3e7f1f0e59a388"
"CrowdResponse","\SystemRoot\System32\drivers\FLTMGR.SYS","0xFFFFF806484D0000","C:\Windows\System32\drivers\","FLTMGR.SYS","436736","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:44:22Z","2018-09-15T07:28:46Z","Microsoft Corporation","Microsoft Filesystem Filter Manager","10.0.17763.1 (WinBuild.160101.0800)","fltMgr.sys","&#169; Microsoft Corporation. All rights reserved.","fltMgr.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","f7555ebb13aa476e9b15b5082249e0af","6f16c99d01807191f5c34bbcb523f53760d31baa","7a2b5a1974b21a01c029dba881c7527b25621ace86486e6f776a9240e30e0617"
"CrowdResponse","\SystemRoot\System32\drivers\clipsp.sys","0xFFFFF80648550000","C:\Windows\System32\drivers\","clipsp.sys","1051960","0x20","ARCHIVE","2019-03-12T06:33:00Z","2023-09-20T10:23:45Z","2019-03-12T06:33:00Z","Microsoft Corporation","CLIP Service","10.0.17763.168 (WinBuild.160101.0800)","clipsp.dll","&#169; Microsoft Corporation. All rights reserved.","clipsp.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.168","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","a94e2b8190ba2934015701ab326060c7","61303d12449bd15f2ba2a7e1376a43b885466659","fe27b158a91465ac7b9279c49112b316054632a74eab89a433d4ecbce53fe90d"
"CrowdResponse","\SystemRoot\System32\drivers\cmimcext.sys","0xFFFFF80648660000","C:\Windows\System32\drivers\","cmimcext.sys","28984","0x20","ARCHIVE","2018-09-15T07:28:22Z","2023-09-20T10:23:45Z","2018-09-15T07:28:22Z","Microsoft Corporation","Kernel Configuration Manager Initial Configuration Extension Host Export Driver","10.0.17763.1 (WinBuild.160101.0800)","cmimcext.sys","&#169; Microsoft Corporation. All rights reserved.","cmimcext.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","0bdbb3ed0e4514b9478966c2f43f2800","25b929edb9dc4f415e6421e77f47227bc6bfdc20","830fef337326773d0ec0b526403e8bd4529d7fbe4e29838b96a409b449e9c602"
"CrowdResponse","\SystemRoot\System32\drivers\ntosext.sys","0xFFFFF80648670000","C:\Windows\System32\drivers\","ntosext.sys","20480","0x20","ARCHIVE","2018-09-15T07:28:52Z","2023-09-20T10:23:45Z","2018-09-15T07:28:52Z","Microsoft Corporation","NTOS extension host driver","10.0.17763.1 (WinBuild.160101.0800)","ntosext.sys","&#169; Microsoft Corporation. All rights reserved.","ntosext.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","de13c529eca93e3297b2b83852026751","feceac619c9924cc941e564b68243c4b7fc2322b","2dd0421281a8cd44729e5fc98eaecab38e877ecb7b40dc1f6a95b4a194094ecc"
"CrowdResponse","\SystemRoot\system32\CI.dll","0xFFFFF80648680000","C:\Windows\system32\","CI.dll","850760","0x20","ARCHIVE","2019-03-12T06:33:02Z","2023-10-06T17:46:24Z","2019-03-12T06:33:02Z","Microsoft Corporation","Code Integrity Module","10.0.17763.1 (WinBuild.160101.0800)","ci.dll","&#169; Microsoft Corporation. All rights reserved.","ci.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","75efc06dd19fb8fd4521eb1c2c6e3126","59aef40eb53ce26d585371c28ebd2096d1986280","da8282173cbce7ea38f8fca64db0972c3d9614ddbca98f6b96d11a4cadde92ad"
"CrowdResponse","\SystemRoot\System32\drivers\cng.sys","0xFFFFF80648760000","C:\Windows\System32\drivers\","cng.sys","730384","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:44:21Z","2018-09-15T07:28:46Z","Microsoft Corporation","Kernel Cryptography, Next Generation","10.0.17763.1 (WinBuild.160101.0800)","cng.sys","&#169; Microsoft Corporation. All rights reserved.","cng.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","75dab6d505a8774a17dc29bb71a8fe7c","9adcb3a76de6cb964ab7d362c968b0e01158443f","462c9673844d388cd2e78da3d6478e46f54427b8d9f674d6e61d7295cf359e5d"
"CrowdResponse","\SystemRoot\system32\drivers\Wdf01000.sys","0xFFFFF80648820000","C:\Windows\system32\drivers\","Wdf01000.sys","843496","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:44:28Z","2018-09-15T07:28:46Z","Microsoft Corporation","Kernel Mode Driver Framework Runtime","1.27.17763.1 (WinBuild.160101.0800)","wdf01000.sys","&#169; Microsoft Corporation. All rights reserved.","wdf01000.sys.mui","Microsoft&#174; Windows&#174; Operating System","1.27.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","2f76d984214fce6dc7037a7e1094e062","cd94a5c11411bdaf8da56a582764b58b1dd24f28","814d7a1096ef903ab539bdb82aa6a2c1b9b4e43204acd3e9a2d95b25ad197f6e"
"CrowdResponse","\SystemRoot\system32\drivers\WDFLDR.SYS","0xFFFFF80648900000","C:\Windows\system32\drivers\","WDFLDR.SYS","67304","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T12:43:30Z","2018-09-15T07:28:46Z","Microsoft Corporation","Kernel Mode Driver Framework Loader","1.27.17763.1 (WinBuild.160101.0800)","wdfldr.sys","&#169; Microsoft Corporation. All rights reserved.","wdfldr.sys","Microsoft&#174; Windows&#174; Operating System","1.27.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","0cabd04e74214fb6a50b4f6ce4fa11c5","9485566e9eb50311916482ab5aa1034da62813dd","a74c177939637848860fef5f22443997be6db8feb40d5bcb0bb007fa16ebe04f"
"CrowdResponse","\SystemRoot\system32\drivers\WppRecorder.sys","0xFFFFF80648920000","C:\Windows\system32\drivers\","WppRecorder.sys","40448","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T12:43:30Z","2018-09-15T07:28:46Z","Microsoft Corporation","WPP Trace Recorder","10.0.17763.1 (WinBuild.160101.0800)","WppRecorder.sys","&#169; Microsoft Corporation. All rights reserved.","WppRecorder.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","97aa66d4755aabac402c233e605c33a3","95e61f7bf3a4a01617b0402a5ebf5df830a9c004","7966267da1dc5774cfe8bb1254dd8560cf431e727e4168b3261d22c28ad3ef64"
"CrowdResponse","\SystemRoot\system32\drivers\SleepStudyHelper.sys","0xFFFFF80648940000","C:\Windows\system32\drivers\","SleepStudyHelper.sys","37176","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T12:43:30Z","2018-09-15T07:28:45Z","Microsoft Corporation","Sleep Study Helper","10.0.17763.1 (WinBuild.160101.0800)","SleepStudyHelper.sys","&#169; Microsoft Corporation. All rights reserved.","SleepStudyHelper.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","58b91f3c317ec5222b0aa11e5ce95fe7","b55adf18fc53c93a4845f9dfd3058cbe889ef479","5053d5c1ec624f7399ac7b9ab90f934110a07b119c2b60aed348d08714470e4c"
"CrowdResponse","\SystemRoot\System32\Drivers\acpiex.sys","0xFFFFF80648950000","C:\Windows\System32\Drivers\","acpiex.sys","132096","0x20","ARCHIVE","2018-09-15T07:28:22Z","2023-10-06T17:44:20Z","2018-09-15T07:28:22Z","Microsoft Corporation","ACPIEx Driver","10.0.17763.1 (WinBuild.160101.0800)","acpiex.sys","&#169; Microsoft Corporation. All rights reserved.","acpiex.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","feb0c1d3f1ce24ca8546fb02b8b1241a","baaa916382862d899ce85a86a89afcf187a13b8b","a8f541de54d264029f1478472a1fa2634651896a4f47898116c2b7180d3bb9fc"
"CrowdResponse","\SystemRoot\system32\drivers\mssecflt.sys","0xFFFFF80648980000","C:\Windows\system32\drivers\","mssecflt.sys","317440","0x20","ARCHIVE","2019-03-12T06:33:41Z","2023-10-06T17:44:24Z","2019-03-12T06:33:41Z","Microsoft Corporation","Microsoft Security Events Component file system filter driver","10.0.17763.1 (WinBuild.160101.0800)","mssecflt","&#169; Microsoft Corporation. All rights reserved.","mssecflt.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","76517ba54bd95071fe4be80ff46a185f","9193cd698d4652e7c43978162bc136c2f689d99b","707a86d1f83d80998701a1b88c0685755bf76c8e2fec2682e8ac7478e21f3d4d"
"CrowdResponse","\SystemRoot\system32\drivers\SgrmAgent.sys","0xFFFFF806489E0000","C:\Windows\system32\drivers\","SgrmAgent.sys","87552","0x20","ARCHIVE","2018-09-15T07:29:13Z","2023-10-06T17:44:26Z","2018-09-15T07:29:13Z","Microsoft Corporation","System Guard Runtime Monitor Agent Driver","10.0.17763.1 (WinBuild.160101.0800)","SgrmAgent","&#169; Microsoft Corporation. All rights reserved.","SgrmAgent.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","01d980c33003b078324e3fe032c8a42a","6c1ac950bb294351f09ccf9a0fc8fb3482e0ffbb","ec90e67a2d5055fb6792d28b0ccfe3a47f2d3ebd8c643966dd857c289f2e26a3"
"CrowdResponse","\SystemRoot\System32\drivers\ACPI.sys","0xFFFFF80648A00000","C:\Windows\System32\drivers\","ACPI.sys","790840","0x20","ARCHIVE","2018-09-15T07:28:18Z","2023-10-06T17:44:20Z","2018-09-15T07:28:18Z","Microsoft Corporation","ACPI Driver for NT","10.0.17763.1 (WinBuild.160101.0800)","ACPI.sys","&#169; Microsoft Corporation. All rights reserved.","ACPI.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","52166c84da4bbd0fb70ef15f84d8a5b7","72106f8b47ebfbc9e95f5ccc253e41152c26e0f3","aaaf37c1f8dbee6b248bb5f6eb51e54bbef8254494cb531e4ccdbfb596890266"
"CrowdResponse","\SystemRoot\System32\drivers\WMILIB.SYS","0xFFFFF80648AD0000","C:\Windows\System32\drivers\","WMILIB.SYS","20480","0x20","ARCHIVE","2018-09-15T07:28:45Z","2023-10-06T12:43:30Z","2018-09-15T07:28:45Z","Microsoft Corporation","WMILIB WMI support library Dll","10.0.17763.1 (WinBuild.160101.0800)","WmiLib.sys","&#169; Microsoft Corporation. All rights reserved.","WmiLib.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","35fcd6e7cbb49e67d6eb0a579a3ef263","f6358f8bd6d7f00e71fc66fe6f2acf14c5cc962b","068fda63b2382ffb5fcf4129f753229d9684eea3e94acb874149e01dd8caba75"
"CrowdResponse","\SystemRoot\System32\drivers\intelpep.sys","0xFFFFF80648B00000","C:\Windows\System32\drivers\","intelpep.sys","254952","0x20","ARCHIVE","2018-09-15T07:28:17Z","2023-10-06T17:44:23Z","2018-09-15T07:28:17Z","Microsoft Corporation","Intel Power Engine Plugin","10.0.17763.1 (WinBuild.160101.0800)","intelpep.sys","&#169; Microsoft Corporation. All rights reserved.","intelpep.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Hardware Abstraction Layer Publisher","Embedded","1fd5f56938424e3d437f2dd7ffe68a58","a620203e60e9cec324852a84701e24fb4da320ea","2750fff4aef0e01f318cb6a45ab970ef087523879ee7e4c391a1c9c195ec9064"
"CrowdResponse","\SystemRoot\system32\drivers\WindowsTrustedRT.sys","0xFFFFF80648B50000","C:\Windows\system32\drivers\","WindowsTrustedRT.sys","74424","0x20","ARCHIVE","2019-03-12T06:33:12Z","2023-10-06T17:44:29Z","2019-03-12T06:33:12Z","Microsoft Corporation","Windows Trusted Runtime Interface Driver","10.0.17763.292 (WinBuild.160101.0800)","WindowsTrustedRT.sys","&#169; Microsoft Corporation. All rights reserved.","WindowsTrustedRT.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.292","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Hardware Abstraction Layer Publisher","Embedded","efd418a44aa49ee585c26ea288324c5f","0937c90fdf5551ddd5a25488aae703a55ff951c9","21b79b0d9a3184876037a96a747ee4e7f53464d0d5e6ccbabebebf1bda063afc"
"CrowdResponse","\SystemRoot\System32\drivers\WindowsTrustedRTProxy.sys","0xFFFFF80648B70000","C:\Windows\System32\drivers\","WindowsTrustedRTProxy.sys","17896","0x20","ARCHIVE","2018-09-15T07:28:19Z","2023-10-06T17:44:29Z","2018-09-15T07:28:19Z","Microsoft Corporation","Windows Trusted Runtime Service Proxy Driver","10.0.17763.1 (WinBuild.160101.0800)","WindowsTrustedRTProxy.sys","&#169; Microsoft Corporation. All rights reserved.","WindowsTrustedRTProxy.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Hardware Abstraction Layer Publisher","Embedded","f179027b9fe048633a60d782e1132aaa","63190721ba7d69932e59ee43c944bf62202cf6fb","8aba2ff51d098231fc9e4cb2e62445515a75432d90682b5d0842924355158e43"
"CrowdResponse","\SystemRoot\System32\drivers\pcw.sys","0xFFFFF80648B80000","C:\Windows\System32\drivers\","pcw.sys","57856","0x20","ARCHIVE","2018-09-15T07:28:46Z","2023-10-06T17:44:25Z","2018-09-15T07:28:46Z","Microsoft Corporation","Performance Counters for Windows Driver","10.0.17763.1 (WinBuild.160101.0800)","pcw.sys","&#169; Microsoft Corporation. All rights reserved.","pcw.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","4ac3a1d2f9ac74da7ba3a30344aab664","5587e73f7b12291265c592f6e9831d3e8314ddea","b6ac8708a2a79b327338a19d88bf86d9a31c7aff117440f7d4545ec94782dfae"
"CrowdResponse","\SystemRoot\System32\drivers\msisadrv.sys","0xFFFFF80648BA0000","C:\Windows\System32\drivers\","msisadrv.sys","18744","0x20","ARCHIVE","2018-09-15T07:28:18Z","2023-10-06T17:44:24Z","2018-09-15T07:28:18Z","Microsoft Corporation","ISA Driver","10.0.17763.1 (WinBuild.160101.0800)","msisadrv.sys","&#169; Microsoft Corporation. All rights reserved.","msisadrv.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","e64484cbbef329b919d9e78b8cb58cf5","60464c70e8c9266175a6f4a3cd249d96732db8d5","ea30bdc77bedbfbe839a51e3b65458d79b289e17f15c90113c02675db4a4afb8"
"CrowdResponse","\SystemRoot\System32\drivers\pci.sys","0xFFFFF80648BB0000","C:\Windows\System32\drivers\","pci.sys","421376","0x20","ARCHIVE","2019-03-12T06:32:58Z","2023-10-06T17:44:25Z","2019-03-12T06:32:58Z","Microsoft Corporation","NT Plug and Play PCI Enumerator","10.0.17763.1 (WinBuild.160101.0800)","pci.sys","&#169; Microsoft Corporation. All rights reserved.","pci.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","f80f7733acc0d15aa4e959173e16d6c8","3f1f00dd9c0389b8d070596220a1876b4f266706","ee7a453c6ef09d148c91a34927077cf155092984a9a87b33bf8883494cf5ba1b"
"CrowdResponse","\SystemRoot\System32\drivers\vdrvroot.sys","0xFFFFF80648C20000","C:\Windows\System32\drivers\","vdrvroot.sys","55608","0x20","ARCHIVE","2018-09-15T07:28:18Z","2023-10-06T17:44:27Z","2018-09-15T07:28:18Z","Microsoft Corporation","Virtual Drive Root Enumerator","10.0.17763.1 (WinBuild.160101.0800)","vdrvroot.sys","&#169; Microsoft Corporation. All rights reserved.","vdrvroot.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","c06e30a8ee21d4e8ab184f985dd50c12","1416cd77d41287138295d3d1cbfa8b93a470eeed","107be98743da2f16d2900ed26a562e5f5f35e3851e8a5b03df89665e84e1b3b4"
"CrowdResponse","\SystemRoot\system32\drivers\pdc.sys","0xFFFFF80648C40000","C:\Windows\system32\drivers\","pdc.sys","156984","0x20","ARCHIVE","2019-03-12T06:33:05Z","2023-10-06T17:44:25Z","2019-03-12T06:33:05Z","Microsoft Corporation","Power Dependency Coordinator Driver","10.0.17763.1 (WinBuild.160101.0800)","pdc.sys","&#169; Microsoft Corporation. All rights reserved.","pdc.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","1f6c84658bbb5e607e20ad32cb753f00","3b8fc745e47727b5fa1b915ac51f85645c03b049","571b39d3518c4b1a06127c1eb76c93bb8a376d74750d0aaa7bc39e13c380be38"
"CrowdResponse","\SystemRoot\system32\drivers\CEA.sys","0xFFFFF80648C70000","C:\Windows\system32\drivers\","CEA.sys","82432","0x20","ARCHIVE","2018-09-15T07:28:29Z","2023-10-06T12:43:30Z","2018-09-15T07:28:29Z","Microsoft Corporation","Event Aggregation Kernel Mode Library","10.0.17763.1 (WinBuild.160101.0800)","EventAggregation.sys","&#169; Microsoft Corporation. All rights reserved.","EventAggregation.sys","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","b839650e5dec0519d39e594c180f1f86","6618d3b9cf4ce3f8cb0afb108d6a696047fb0ccb","2d4fcf60c929721bab9500fb73e61be141b4238adf28ef4203180b891670f73b"
